Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Brazil,2021,Malware,Retail,15.85,563441,Hacker Group,Social Engineering,Firewall,45
Russia,2019,Ransomware,IT,4.85,56488,Hacker Group,Weak Passwords,Firewall,24
France,2015,Malware,Education,15.06,595486,Insider,Social Engineering,Firewall,25
China,2018,Phishing,Banking,11.86,552183,Hacker Group,Social Engineering,AI-based Detection,20
Germany,2020,SQL Injection,Banking,19.77,460409,Hacker Group,Social Engineering,Firewall,47
USA,2016,SQL Injection,Education,6.61,152885,Nation-state,Weak Passwords,Encryption,20
China,2016,Ransomware,Telecommunications,9.7,124616,Unknown,Social Engineering,VPN,21
Brazil,2018,Malware,Telecommunications,15.14,292503,Hacker Group,Zero-day,Firewall,13
China,2022,DDoS,Healthcare,12.55,553538,Hacker Group,Weak Passwords,VPN,27
China,2021,Ransomware,Healthcare,8.57,41750,Hacker Group,Unpatched Software,VPN,21
UK,2019,SQL Injection,Retail,13.57,392288,Hacker Group,Unpatched Software,Firewall,23
India,2019,Malware,Government,7.22,169145,Hacker Group,Unpatched Software,AI-based Detection,17
USA,2015,Phishing,IT,1.69,198184,Hacker Group,Social Engineering,AI-based Detection,13
Japan,2022,Malware,Education,14.8,210500,Hacker Group,Social Engineering,Firewall,41
China,2016,Phishing,Healthcare,1.51,27938,Nation-state,Social Engineering,AI-based Detection,13
USA,2016,Man-in-the-Middle,Banking,3.47,235070,Hacker Group,Social Engineering,Encryption,16
France,2017,DDoS,IT,6.41,147108,Unknown,Unpatched Software,AI-based Detection,10
USA,2024,Malware,Healthcare,17.44,310286,Hacker Group,Unpatched Software,Encryption,46
Russia,2023,SQL Injection,IT,9.04,138488,Hacker Group,Unpatched Software,AI-based Detection,23
India,2024,Phishing,Telecommunications,4.56,11221,Hacker Group,Unpatched Software,VPN,16
Germany,2016,DDoS,Healthcare,18.78,333043,Nation-state,Weak Passwords,Firewall,44
China,2022,Man-in-the-Middle,Government,55.09,852261,Insider,Unpatched Software,Firewall,50
Australia,2018,SQL Injection,IT,14.2,593041,Hacker Group,Zero-day,Firewall,45
India,2018,Malware,Retail,11.45,536112,Nation-state,Weak Passwords,Encryption,33
India,2021,Man-in-the-Middle,IT,1.84,291778,Insider,Zero-day,Encryption,6
Brazil,2018,SQL Injection,Healthcare,2.54,106873,Hacker Group,Social Engineering,Antivirus,13
Germany,2016,Phishing,Banking,24.26,489195,Insider,Unpatched Software,Antivirus,36
China,2023,DDoS,Retail,4.99,270741,Hacker Group,Weak Passwords,Encryption,19
UK,2023,SQL Injection,Healthcare,7.98,277999,Insider,Social Engineering,VPN,17
Germany,2018,Phishing,Healthcare,5.82,171066,Hacker Group,Social Engineering,Antivirus,20
USA,2024,SQL Injection,Banking,19.99,323534,Hacker Group,Weak Passwords,VPN,45
Germany,2024,Malware,Retail,5.39,75822,Unknown,Social Engineering,Firewall,19
Japan,2016,Man-in-the-Middle,IT,0.87,25724,Nation-state,Zero-day,Antivirus,20
India,2017,Phishing,Retail,0.95,225276,Unknown,Social Engineering,Firewall,17
Brazil,2017,SQL Injection,Retail,39.17,585541,Hacker Group,Social Engineering,Encryption,48
UK,2020,Phishing,Banking,11.17,330380,Unknown,Social Engineering,Antivirus,44
China,2022,Malware,Government,10.92,589372,Unknown,Social Engineering,VPN,29
USA,2016,DDoS,Banking,9.96,48021,Hacker Group,Social Engineering,AI-based Detection,17
USA,2020,SQL Injection,Retail,19.39,401418,Unknown,Social Engineering,VPN,30
India,2017,Ransomware,IT,19.93,434333,Nation-state,Social Engineering,VPN,39
Germany,2017,Phishing,Telecommunications,1.45,203763,Unknown,Unpatched Software,AI-based Detection,13
USA,2018,Phishing,IT,16.68,482772,Insider,Weak Passwords,Antivirus,32
USA,2020,Malware,Banking,16.7,424608,Hacker Group,Zero-day,Antivirus,21
France,2022,Phishing,Banking,31.37,926581,Unknown,Zero-day,VPN,55
USA,2020,Man-in-the-Middle,Retail,25.52,319368,Insider,Weak Passwords,Antivirus,18
Australia,2023,DDoS,IT,1.46,178360,Hacker Group,Social Engineering,AI-based Detection,24
UK,2020,Phishing,Banking,3.07,268616,Hacker Group,Unpatched Software,AI-based Detection,3
Japan,2020,DDoS,IT,5.63,86159,Hacker Group,Unpatched Software,Firewall,6
USA,2024,Phishing,Government,79.61,786992,Nation-state,Unpatched Software,VPN,29
USA,2015,Ransomware,Banking,12.37,251811,Hacker Group,Unpatched Software,Firewall,12
USA,2021,DDoS,Healthcare,3.21,239893,Nation-state,Social Engineering,Encryption,4
India,2024,SQL Injection,IT,7.78,120501,Nation-state,Social Engineering,AI-based Detection,11
Australia,2020,SQL Injection,Banking,10.82,286344,Unknown,Social Engineering,VPN,37
Japan,2024,Phishing,Healthcare,8.06,216738,Hacker Group,Social Engineering,VPN,13
India,2024,Malware,Retail,0.52,229733,Insider,Social Engineering,Antivirus,1
USA,2018,Man-in-the-Middle,Telecommunications,1.22,156482,Hacker Group,Weak Passwords,AI-based Detection,23
Japan,2023,Man-in-the-Middle,Government,8.93,193260,Unknown,Social Engineering,Encryption,22
Brazil,2023,Phishing,Retail,40.02,584828,Unknown,Weak Passwords,Firewall,67
Russia,2019,Phishing,Telecommunications,13.91,526202,Unknown,Weak Passwords,Firewall,34
China,2017,Phishing,Retail,6.26,295529,Insider,Unpatched Software,Encryption,1
Japan,2017,Ransomware,Government,44.54,657519,Nation-state,Zero-day,Antivirus,62
China,2019,Ransomware,Government,3.98,12268,Hacker Group,Social Engineering,AI-based Detection,22
Brazil,2018,Phishing,Retail,1.71,71839,Insider,Social Engineering,Encryption,19
China,2022,SQL Injection,Education,18.81,585768,Hacker Group,Social Engineering,Encryption,18
Brazil,2015,Phishing,Healthcare,10.97,332077,Hacker Group,Weak Passwords,Antivirus,20
China,2017,Phishing,Healthcare,15.65,350196,Unknown,Social Engineering,Firewall,12
